"Age_group","Date","Residual","yday"
"15-44",2011-02-21,-0.0969677317273967,52
"15-44",2011-02-28,-0.183856431703985,59
"15-44",2011-03-07,-0.00950214718471786,66
"15-44",2011-03-14,0.0212738454917759,73
"15-44",2011-03-21,0.133655921481085,80
"15-44",2011-03-28,-0.12535007072212,87
"15-44",2011-04-04,0.0395279878872091,94
"15-44",2011-04-11,0.0839067162375872,101
"15-44",2011-04-18,-0.0982880128524812,108
"15-44",2011-04-25,-0.0669523517771649,115
"15-44",2011-05-02,-0.0676311883261006,122
"15-44",2011-05-09,0.146077937152545,129
"15-44",2011-05-16,0.0149688596233181,136
"15-44",2011-05-23,0.0479150973718813,143
"15-44",2011-05-30,-0.155029302732736,150
"15-44",2011-06-06,0.0715631207000921,157
"15-44",2011-06-13,0.00214646487497227,164
"15-44",2011-06-20,-0.0149833046748926,171
"15-44",2011-06-27,0.124794061694998,178
"15-44",2011-07-04,0.0431474504482872,185
"15-44",2011-07-11,-0.157293276926962,192
"15-44",2011-07-18,0.0626657259924877,199
"15-44",2011-07-25,-0.118775778036398,206
"15-44",2011-08-01,0.0521289455812814,213
"15-44",2011-08-08,-0.0819965781409689,220
"15-44",2011-08-15,0.0600278493795255,227
"15-44",2011-08-22,-0.010344629951074,234
"15-44",2011-08-29,-0.0810752668001641,241
"15-44",2011-09-05,-0.179572092847691,248
"15-44",2011-09-12,0.0108011742230429,255
"15-44",2011-09-19,0.0189860897258443,262
"15-44",2011-09-26,0.0278008410653876,269
"15-44",2011-10-03,-0.0930917251430451,276
"15-44",2011-10-10,0.0397753262475182,283
"15-44",2011-10-17,-0.0642754371928458,290
"15-44",2011-10-24,0.0265075520430364,297
"15-44",2011-10-31,-0.0386244926468112,304
"15-44",2011-11-07,-0.0838231934374516,311
"15-44",2011-11-14,-0.0771642514951829,318
"15-44",2011-11-21,-0.160776777849287,325
"15-44",2011-11-28,-0.0899011687083293,332
"15-44",2011-12-05,0.0256273330186787,339
